Age,R1,R2,R3,R4
1,48.3,47.1,52.6,59.7
2,49.8,49.1,55.7,61.1
3,51.2,50.9,58.3,62.4
4,52.4,52.5,60.6,63.6
5,53.5,54,62.5,64.7
6,54.4,55.4,64.2,65.8
7,55.3,56.6,65.7,66.8
8,56.1,57.7,66.9,67.7
9,56.8,58.7,68,68.6
10,57.4,59.6,69,69.4
11,57.9,60.4,69.8,70.2
12,58.4,61.1,70.5,70.9
13,58.9,61.8,71.1,71.6
14,59.3,62.4,71.6,72.2
15,59.7,62.9,72.1,72.8
16,60,63.4,72.5,73.4
17,60.3,63.9,72.8,73.9
18,60.5,64.3,73.1,74.4
19,60.8,64.6,73.4,74.8
20,61,65,73.6,75.3
21,61.1,65.3,73.8,75.7
22,61.3,65.5,74,76
23,61.5,65.8,74.1,76.4
24,61.6,66,74.2,76.7
25,61.7,66.2,74.4,77
26,61.8,66.4,74.4,77.3
27,61.9,66.5,74.5,77.5
28,62,66.7,74.6,77.8
29,62.1,66.8,74.7,78
30,62.2,66.9,74.7,78.2
31,62.2,67,74.8,78.5
32,62.3,67.1,74.8,78.6
33,62.3,67.2,74.8,78.8
34,62.4,67.3,74.9,79
35,62.4,67.4,74.9,79.1
36,62.4,67.5,74.9,79.3
37,62.5,67.5,74.9,79.4
38,62.5,67.6,74.9,79.6
39,62.5,67.6,75,79.7
40,62.6,67.7,75,79.8
41,62.6,67.7,75,79.9
42,62.6,67.7,75,80
